"energy","danceability","tempo","valence","views","likes","stream"
"0.43","0.832","148.074","0.462","524707468","2641825","387665450"
"0.688","0.663","151.589","0.731","11856519","192622","432215037"
"0.617","0.742","147.002","0.491","19671055","273280","62736773"
"0.841","0.376","76.052","0.463","46104250","370102","238468772"
"0.512","0.716","104.957","0.326","215540369","4266217","644668215"
"0.779","0.468","173.799","0.26","151276432","1964768","731776557"
"0.787","0.399","117.089","0.572","2581536372","12476394","1404231856"
"0.437","0.259","180.042","0.0951","1953769806","14149628","1378235205"
"0.698","0.628","89.976","0.732","1788225602","8821956","1538447140"
"0.615","0.603","158.657","0.561","331492365","3990442","411692294"
"0.791","0.421","130.075","0.499","1261263786","5191365","733035056"
"0.744","0.678","101.987","0.433","1298279","32710","34819346"
"0.636","0.759","109.976","0.536","106746356","988318","300286185"
"0.814","0.547","92.986","0.724","50685969","494298","191151662"
"0.492","0.828","120.151","0.789","41698012","476988","1145814659"
"0.67","0.545","151.553","0.481","63168341","618971","800258505"
"0.487","0.73","114.965","0.731","53248522","342799","615384523"
"0.947","0.583","135.448","0.803","5109177","44832","732367244"
"0.161","0.414","159.375","0.423","76081765","451100","512338633"
"0.71","0.671","118.745","0.834","5410145","42737","252302426"
"0.649","0.64","124.825","0.865","49292398","385402","298619427"
"0.49","0.723","129.012","0.795","8490005","61004","302893047"
"0.87","0.543","100.804","0.754","679721429","3253260","877774503"
"0.491","0.749","119.528","0.536","361288115","3156029","519184335"
"0.748","0.749","137.547","0.827","272724820","1324658","375576936"
"0.922","0.719","133.113","0.964","7540645","51162","135342126"
"0.788","0.454","126.15","0.52","115380254","512491","295039369"
"0.675","0.684","107.064","0.924","142034489","512716","250065301"
"0.727","0.678","133.481","0.71","2968673","39389","252601051"
"0.949","0.445","147.604","0.653","77339439","368779","222521002"
"0.554","0.5","84.229","0.372","219881780","1203620","210743145"
"0.626","0.764","118.34","0.961","90572907","375323","208513838"
"0.259","0.652","142.169","0.836","13683856","144902","471405587"
"0.137","0.262","92.183","0.288","6422826","94812","126469786"
"0.339","0.512","174.609","0.951","15255986","286935","177473609"
"0.381","0.401","75.454","0.229","40356494","323576","329370178"
"0.338","0.257","207.356","0.544","420791","5476","182673374"
"0.204","0.646","140.281","0.688","1679701","23726","88041370"
"0.26","0.668","119.416","0.368","135669950","1746670","506872698"
"0.473","0.259","90.348","0.539","14266051","131664","143712745"
"0.434","0.56","112.803","0.664","45558716","271523","212972149"
"0.118","0.252","87.575","0.14","43026","932","42053170"
"0.793","0.696","120.003","0.698","12850997","137385","107996524"
"0.763","0.754","117.953","0.464","124255684","980422","547871739"
"0.787","0.77","119.986","0.513","329901294","2401650","481307838"
"0.855","0.534","122.06","0.42","2192535","28849","18374300"
"0.62","0.798","120.031","0.235","236818708","1836947","980693352"
"0.841","0.748","123.045","0.717","5891427","96134","117679131"
"0.942","0.66","126.017","0.543","2099152","61252","27908495"
"0.764","0.79","123.046","0.473","2182357","31412","38610617"
"0.855","0.652","127.964","0.0834","2087256","32315","32419330"
"0.833","0.747","128.008","0.687","52275235","520812","782756255"
"0.8","0.795","116.032","0.934","396909270","2532714","1357658479"
"0.904","0.504","176.808","0.772","170453554","1658219","649281620"
"0.783","0.658","126.027","0.491","15181510","165237","190102352"
"0.532","0.601","136.571","0.341","129299713","960562","828968108"
"0.315","0.554","128.157","0.325","1591571","22237","654292280"
"0.844","0.729","131.459","0.777","87086359","638960","562468940"
"0.428","0.414","145.075","0.282","155579484","650110","606925181"
"0.925","0.526","140.308","0.819","19096844","47486","236457156"
"0.473","0.559","121.227","0.397","17035966","209965","242563343"
"0.935","0.594","113.99","0.602","57457813","809894","133344222"
"0.858","0.789","140.022","0.775","374189685","2521768","1054470731"
"0.956","0.491","173.585","0.811","95231588","833985","678424384"
"0.793","0.687","107.045","0.751","47752493","219401","778880225"
"0.924","0.632","86.844","0.441","17001975","138161","296375103"
"0.75","0.654","92.78","0.557","106953199","826069","293182456"
"0.852","0.261","177.997","0.431","25189646","272421","73726722"
"0.678","0.759","89.64","0.327","22824654","278099","115228530"
