"track","artist","album","energy","danceability","views","likes","comments","stream","engagement_rate"
"Ra Ra Rakkamma (From ""Vikrant Rona"")","Sunidhi Chauhan","Ra Ra Rakkamma (From ""Vikrant Rona"")","0.972","0.839","48830075","397639","4517","17554316","0.008143321508312243"
"Scopin","Kordhell","Scopin","0.972","0.809","8806509","158833","1372","29919743","0.018035864154570216"
"Walkin' On The Sun","Smash Mouth","Fush Yu Mang (20th Anniversary Edition)","0.972","0.745","67100148","399464","14303","125554975","0.005953250654529107"
"Murder In My Mind","Kordhell","Murder In My Mind","0.972","0.712","25310219","366485","4138","262426709","0.014479724572908673"
"Ethir Neechal (From ""Ethir Neechal"")","Yo Yo Honey Singh","Bromance: Anirudh Ravichander & Sivakarthikeyan","0.97","0.752","18761954","258301","4038","14998383","0.013767276052377061"
"Machine Gun","Commodores","Machine Gun","0.97","0.741","3340906","34744","1822","22448160","0.010399574247225154"
"Fashionably Late","Falling In Reverse","Fashionably Late (Deluxe Edition)","0.97","0.675","19614895","171805","15079","75087035","0.008758904903645929"
"Suicide Blonde","INXS","X","0.97","0.644","17495787","108963","3073","60172244","0.006227956478894034"
"My Swisher Sweet, But My Sig Sauer","Germ","DIRTIESTNASTIEST$UICIDE","0.969","0.683","3283890","100401","5589","18681970","0.03057380119309721"
"Bend Ova (feat. Tyga)","Lil Jon","Bend Ova (feat. Tyga)","0.968","0.855","22665050","159374","3175","57672736","0.007031707408543109"
"Live The Night","Hardwell","Live The Night","0.968","0.805","2526998","22407","303","58705100","0.008867043028922064"
"Live The Night","Hardwell","Live The Night","0.968","0.805","2526998","22407","303","58705100","0.008867043028922064"
"Live The Night","Lil Jon","Live The Night","0.968","0.805","2526998","22407","303","58705100","0.008867043028922064"
"Live The Night","Lil Jon","Live The Night","0.968","0.805","2526998","22407","303","58705100","0.008867043028922064"
"New Sensation","INXS","Kick","0.967","0.68","16610703","108342","3138","132008480","0.0065224211160719685"
"Call It What You Want","Foster The People","Torches","0.967","0.641","50917174","338109","19090","110017338","0.006640372460576857"
"Lionheart (Fearless)","Tom Grennan","Lionheart (Fearless)","0.967","0.628","4598704","38302","1605","30217367","0.008328868307244823"
"Lionheart (Fearless)","Joel Corry","Lionheart (Fearless)","0.967","0.628","4598704","38302","1605","30217367","0.008328868307244823"
"Lionheart (Fearless)","Joel Corry","Lionheart (Fearless)","0.967","0.628","4598704","38302","1605","30217367","0.008328868307244823"
"Lionheart (Fearless)","Tom Grennan","Lionheart (Fearless)","0.967","0.628","4598704","38302","1605","30217367","0.008328868307244823"
"Ai Papai","Anitta","Ai Papai","0.966","0.73","14980040","187117","6301","26896009","0.012491088141286672"
"Un Osito de Peluche de Taiwán","Los Auténticos Decadentes","Sigue Tu Camino","0.964","0.661","23022177","94893","2364","75807611","0.0041218082894593335"
"Candy","NCT DREAM","Candy - Winter Special Mini Album","0.964","0.65","29831142","1138726","66649","22315025","0.03817239045022145"
"Candy","NCT DREAM","Candy - Winter Special Mini Album","0.964","0.65","29831142","1138726","66649","22315025","0.03817239045022145"
"Candy","NCT DREAM","Candy - Winter Special Mini Album","0.964","0.65","29831142","1138726","66649","22315025","0.03817239045022145"
"Candy","NCT DREAM","Candy - Winter Special Mini Album","0.964","0.65","29831142","1138726","66649","22315025","0.03817239045022145"
"Ocean Breathes Salty","Modest Mouse","Good News For People Who Love Bad News","0.964","0.646","15467911","71439","4147","36639195","0.0046185292894431575"
"Touch The Sky","Cedric Gervais","Touch The Sky","0.964","0.633","316492","3563","29","14396796","0.011257788506502534"
"Bounce (feat. Kelis) - Radio Edit","Kelis","18 Months","0.963","0.779","53579607","218070","13950","130521709","0.004070018654672103"
"Ra Ra Rakkamma (From ""Vikrant Rona"")","Nakash Aziz","Ra Ra Rakkamma (From ""Vikrant Rona"")","0.962","0.832","48836788","397705","4519","17554316","0.008143553585055594"
"Ra Ra Rakkamma (From ""Vikrant Rona"")","Nakash Aziz","Ra Ra Rakkamma (From ""Vikrant Rona"")","0.962","0.832","48836788","397705","4519","17554316","0.008143553585055594"
"I duckinf hatw you","Ghostemane","HUMAN ERR0R","0.962","0.671","44771197","1350716","36320","111406631","0.030169307289237765"
"Ole Ole 2.0","Abhijeet","Jawaani Jaaneman (Original Motion Picture Soundtrack)","0.961","0.728","44335282","281870","2856","9100060","0.006357690473244311"
"I Like It, I Love It","Tim McGraw","All I Want","0.961","0.643","3702517","34301","557","121572561","0.0092642383546112"
"By Your Side (feat. Tom Grennan)","Tom Grennan","By Your Side (feat. Tom Grennan)","0.96","0.733","22364320","159428","4202","198665526","0.007128676391681034"
"Up & Down","Vengaboys","The Party Album!","0.959","0.789","42463158","273984","7313","49133755","0.006452275640921479"
"Up & Down","Vengaboys","The Party Album!","0.959","0.789","42463158","273984","7313","49133755","0.006452275640921479"
"E-Pro","Beck","Guero","0.959","0.624","7838813","54757","3221","38454946","0.006985368830714548"
"Toma - Ao Vivo","Leo Santana","GG Astral (Ao Vivo)","0.958","0.836","39569976","211613","1469","9023219","0.005347817244064035"
"DE CAROLINA","Rauw Alejandro","SATURNO","0.958","0.795","25006614","183606","9839","24467112","0.0073422975217676415"
"DE CAROLINA","Playero","SATURNO","0.958","0.795","25005645","183567","9839","24467112","0.007341022397142725"
"DE CAROLINA","Rauw Alejandro","SATURNO","0.958","0.795","25006614","183606","9839","24467112","0.0073422975217676415"
"DE CAROLINA","Playero","SATURNO","0.958","0.795","25005645","183567","9839","24467112","0.007341022397142725"
"Caminando por la vida","Melendi","Que El Cielo Espere Sentao..","0.958","0.695","27841849","123910","2920","83959975","0.004450494649259825"
"Dimelo Ma","Marcianeke","Dimelo Ma","0.957","0.853","52301654","357628","10819","62061556","0.00683779522536706"
"Vida - Ao Vivo","LUDMILLA","MF No Rio, Vol. 1 (Ao Vivo)","0.957","0.738","89311260","773758","12986","3380905","0.008663610836976211"
"Vida - Ao Vivo","Matheus Fernandes","MF No Rio, Vol. 1 (Ao Vivo)","0.957","0.738","2354896","20319","599","3508261","0.008628406519863298"
"Além do Horizonte","Jota Quest","Até Onde Vai","0.957","0.714","5082808","42127","1239","35695323","0.008288135219744676"
"Monster","Skillet","Awake","0.957","0.64","401002898","3279006","153167","499536385","0.008177013224477994"
"Hitta (feat. Juicy J)","Juicy J","Shockwave","0.956","0.732","1898305","75174","2911","17323703","0.03960059105359782"
"Maari Thara Local (From ""Maari"") - Here Comes Maari","Vijay Yesudas","Mass Level : Anirudh Ravichander","0.956","0.709","5635752","35745","14","15809664","0.006342543106935862"
"I Got Love (feat. Nate Dogg)","Nate Dogg","I Got Love (feat. Nate Dogg)","0.955","0.849","8077133","111121","1509","34975020","0.013757480531767893"
"Fondo Profundo","Vilma Palma e Vampiros","Fondo Profundo","0.954","0.819","7250700","33762","874","24322645","0.004656378004882287"
"Burnin' Up","Jonas Brothers","A Little Bit Longer","0.954","0.667","48321947","483530","18786","184712288","0.010006426272517537"
"Breathe (feat. RZA) [Liam H and Rene LaVice Re-Amp]","RZA","Breathe (feat. RZA) [Liam H and Rene LaVice Re-Amp] [From F9 The Fast Saga Original Motion Picture Soundtrack]","0.954","0.661","1641482","20574","654","5209917","0.012533795679757683"
"Y Yo Sigo Aqui","Paulina Rubio","Paulina","0.953","0.774","45819764","165928","6846","34023266","0.0036213193939628324"
"Djobi Djoba","Gipsy Kings","Gipsy Kings","0.952","0.725","37991345","217740","5371","0","0.0057313053802122566"
"LAND OF FIRE","Kordhell","LAND OF FIRE","0.952","0.686","4933734","107200","2107","27926832","0.02172796506662094"
"Since U Been Gone","A Day To Remember","For Those Who Have Heart","0.951","0.625","20883805","123682","5400","68972276","0.005922388185486314"
"Tainted Love","Marilyn Manson","Lest We Forget - The Best Of","0.95","0.637","1374166","16011","642","135177436","0.011651430758729295"
"Tainted Love","Marilyn Manson","Lest We Forget - The Best Of","0.95","0.637","1374166","16011","642","135177436","0.011651430758729295"
"Tainted Love","Marilyn Manson","Lest We Forget - The Best Of","0.95","0.637","1374166","16011","642","135177436","0.011651430758729295"
"Burguesinha","Seu Jorge","America Brasil","0.949","0.682","1682747","12900","321","55692713","0.007666036546195002"
"Virtual Insanity - Remastered","Jamiroquai","High Times: Singles 1992-2006","0.949","0.662","10562978","182971","6096","187913246","0.017321914331356176"
